0,0,0%0
429825029354553350,22,0%0;銀令牌%0;木令牌%0
533629941783330816,20,0%0;木令牌%0;日月%0
437625232677928961,5,0%0;木令牌%1;水平四方斬%0
733260834373107732,60,0%0;木令牌%4;鐵令牌%1
477881036773261334,12,0%0;木令牌%2
395906136949391361,6,0%0;鐵令牌%1
541994714929561644,1,0%0;木令牌%2
558287667998097430,9,0%0;木令牌%1
563338862592655360,3,0%0
406089062651265024,5,0%0
489374501893570561,0,0%0;木令牌%2
407791742033723393,4,0%0;木令牌%2
615207948599165046,4,0%0;木令牌%3
615431888776986627,1,0%0;鐵令牌%1;木令牌%2
466933459047284738,17,0%0;木令牌%2
426385564565110784,424,0%0;木令牌%34;鐵令牌%4;鎖定%0;日月%0;水平四方斬%0;抽牌%0
478158965289779230,119,0%0;木令牌%13;鐵令牌%1
773133578526523402,25,0%0;木令牌%1
480787262028644362,14,0%0
277806009379192832,1,0%0
416738816292814849,6,0%0;木令牌%1
293324247890395138,4,0%0
316283990900473857,17,0%0;木令牌%1
188177956550475777,1,0%0
417310177013006336,1,0%0
727703773417570385,12,0%0;木令牌%1
761755216701554718,1,0%0;木令牌%1
577371169515241493,0,0%0;鐵令牌%1;木令牌%1
875783585779572737,1,0%0
764476593275928597,2,0%0
186020203489001472,1,0%0
